shop_code,part_no,part_desc,related_order_count,expected_qty,linked_issued_qty,orphan_issue_qty,orphan_issue_count,late_issue_count,physical_qty,system_qty,count_gap,criticality,unit_cost,cause_category,discrepancy_score,severity,order_ids,likely_cause,reviewer_action
ALB,PN-TIRE-701,Tire pressure sensor,1.0,4.0,4.0,0.0,0.0,0.0,20,20,0,MEDIUM,52.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2030,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
AUR,PN-AIRF-207,Engine air filter,1.0,1.0,1.0,0.0,0.0,0.0,18,18,0,MEDIUM,18.25,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2002,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
AUR,PN-OILF-205,Oil filter,1.0,1.0,1.0,0.0,0.0,0.0,30,30,0,MEDIUM,9.8,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2002,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
AUR,PN-ROTR-021,Brake rotor,3.0,6.0,6.0,0.0,0.0,0.0,16,16,0,HIGH,58.0,NO_MATERIAL_SIGNAL,0,MONITOR,"RO-L-2001, RO-L-2008, RO-L-2014","No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
AUR,PN-SPRK-410,Spark plug,1.0,4.0,4.0,0.0,0.0,0.0,44,44,0,MEDIUM,11.25,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2020,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
FRS,PN-BPAD-013,Front brake pad set,2.0,2.0,2.0,0.0,0.0,0.0,15,15,0,HIGH,86.5,NO_MATERIAL_SIGNAL,0,MONITOR,"RO-L-2007, RO-L-2025","No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
FRS,PN-COOL-110,Radiator hose,1.0,1.0,1.0,0.0,0.0,0.0,8,8,0,HIGH,42.75,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2031,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
FRS,PN-ROTR-021,Brake rotor,2.0,4.0,4.0,0.0,0.0,0.0,18,18,0,HIGH,58.0,NO_MATERIAL_SIGNAL,0,MONITOR,"RO-L-2007, RO-L-2025","No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
FRS,PN-STR-320,Starter motor,1.0,1.0,1.0,0.0,0.0,0.0,3,3,0,HIGH,229.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2019,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
FRS,PN-THER-118,Thermostat,1.0,1.0,1.0,0.0,0.0,0.0,6,6,0,HIGH,37.4,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2031,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
FRS,PN-TIRE-701,Tire pressure sensor,1.0,4.0,4.0,0.0,0.0,0.0,14,14,0,MEDIUM,52.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2013,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
MPL,PN-ALT-330,Alternator,1.0,1.0,1.0,0.0,0.0,0.0,5,5,0,HIGH,215.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2011,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
MPL,PN-BATT-500,12V battery,1.0,1.0,1.0,0.0,0.0,0.0,8,8,0,HIGH,149.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2005,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
MPL,PN-BELT-155,Serpentine belt,1.0,1.0,1.0,0.0,0.0,0.0,12,12,0,HIGH,39.75,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2011,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
MPL,PN-COOL-110,Radiator hose,1.0,1.0,1.0,0.0,0.0,0.0,10,10,0,HIGH,42.75,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2017,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
MPL,PN-SENS-610,Oxygen sensor,1.0,1.0,1.0,0.0,0.0,0.0,9,9,0,MEDIUM,88.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2023,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
MPL,PN-THER-118,Thermostat,1.0,1.0,1.0,0.0,0.0,0.0,8,8,0,HIGH,37.4,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2017,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
MPL,PN-WIPR-015,Wiper blade set,1.0,1.0,1.0,0.0,0.0,0.0,16,16,0,LOW,28.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2029,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
NOR,PN-BATT-500,12V battery,1.0,1.0,1.0,0.0,0.0,0.0,7,7,0,HIGH,149.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2022,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
NOR,PN-OILF-205,Oil filter,1.0,1.0,1.0,0.0,0.0,0.0,28,28,0,MEDIUM,9.8,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2010,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
NOR,PN-ROTR-021,Brake rotor,1.0,2.0,2.0,0.0,0.0,0.0,14,14,0,HIGH,58.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2028,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
NOR,PN-STR-320,Starter motor,1.0,1.0,1.0,0.0,0.0,0.0,4,4,0,HIGH,229.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2004,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
RIV,PN-AIRF-207,Engine air filter,1.0,1.0,1.0,0.0,0.0,0.0,11,11,0,MEDIUM,18.25,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2015,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
RIV,PN-ALT-330,Alternator,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,HIGH,215.0,NO_MATERIAL_SIGNAL,0,MONITOR,,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
RIV,PN-BPAD-013,Front brake pad set,1.0,1.0,1.0,0.0,0.0,0.0,13,13,0,HIGH,86.5,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2021,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
RIV,PN-ROTR-021,Brake rotor,1.0,2.0,2.0,0.0,0.0,0.0,10,10,0,HIGH,58.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2021,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
RIV,PN-WIPR-015,Wiper blade set,1.0,1.0,1.0,0.0,0.0,0.0,14,14,0,LOW,28.0,NO_MATERIAL_SIGNAL,0,MONITOR,RO-L-2015,"No material discrepancy signal found from released-order requirements, issue records, or the latest cycle count.",No immediate action. Keep this item on normal monitoring.
